Brands,Link,download_flag
Nissan,https://www.fichacompleta.com.br/carros/nissan/,False
Pagani,https://www.fichacompleta.com.br/carros/pagani/,False
Peugeot,https://www.fichacompleta.com.br/carros/peugeot/,False
Plymouth,https://www.fichacompleta.com.br/carros/plymouth/,False
Pontiac,https://www.fichacompleta.com.br/carros/pontiac/,False
Porsche,https://www.fichacompleta.com.br/carros/porsche/,False
Puma,https://www.fichacompleta.com.br/carros/puma/,False
Ragge,https://www.fichacompleta.com.br/carros/ragge/,False
Ram,https://www.fichacompleta.com.br/carros/ram/,False
Rely,https://www.fichacompleta.com.br/carros/rely/,False
Renault,https://www.fichacompleta.com.br/carros/renault/,False
Rolls-royce,https://www.fichacompleta.com.br/carros/rolls-royce/,True
Saab,https://www.fichacompleta.com.br/carros/saab/,False
Saleen,https://www.fichacompleta.com.br/carros/saleen/,False
Santa Matilde,https://www.fichacompleta.com.br/carros/santa-matilde/,False
Saturn,https://www.fichacompleta.com.br/carros/saturn/,False
Seat,https://www.fichacompleta.com.br/carros/seat/,False
Shineray,https://www.fichacompleta.com.br/carros/shineray/,False
Smart,https://www.fichacompleta.com.br/carros/smart/,True
Ssangyong,https://www.fichacompleta.com.br/carros/ssangyong/,False
Ssc,https://www.fichacompleta.com.br/carros/ssc/,False
Subaru,https://www.fichacompleta.com.br/carros/subaru/,False
Suzuki,https://www.fichacompleta.com.br/carros/suzuki/,False
Tac,https://www.fichacompleta.com.br/carros/tac/,True
Tesla,https://www.fichacompleta.com.br/carros/tesla/,False
Toyota,https://www.fichacompleta.com.br/carros/toyota/,False
Troller,https://www.fichacompleta.com.br/carros/troller/,False
Volkswagen,https://www.fichacompleta.com.br/carros/volkswagen/,False
Volvo,https://www.fichacompleta.com.br/carros/volvo/,False
W Motors,https://www.fichacompleta.com.br/carros/w-motors/,False
